Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_2,Sub_metering_3
4.216,0.418,234.84,18.4,1,17
5.36,0.436,233.63,23,1,16
5.374,0.498,233.29,23,2,17
5.388,0.502,233.74,23,1,17
3.666,0.528,235.68,15.8,1,17
3.52,0.522,235.02,15,2,17
3.702,0.52,235.09,15.8,1,17
3.7,0.52,235.22,15.8,1,17
3.668,0.51,233.99,15.8,1,17
3.662,0.51,233.86,15.8,2,16
4.448,0.498,232.86,19.6,1,17
5.412,0.47,232.78,23.2,1,17
5.224,0.478,232.99,22.4,1,16
5.268,0.398,232.91,22.6,2,17
4.054,0.422,235.24,17.6,1,17
3.384,0.282,237.14,14.2,0,17
3.27,0.152,236.73,13.8,0,17
3.43,0.156,237.06,14.4,0,17
3.266,0,237.13,13.8,0,18
3.728,0,235.84,16.4,0,17
5.894,0,232.69,25.4,0,16
7.706,0,230.98,33.2,0,17
7.026,0,232.21,30.6,0,16
5.174,0,234.19,22,0,17
4.474,0,234.96,19.4,0,17
3.248,0,236.66,13.6,0,17
3.236,0,235.84,13.6,0,17
3.228,0,235.6,13.6,0,17
3.258,0,235.49,13.8,0,17
3.178,0,235.28,13.4,0,17
2.72,0,235.06,11.6,0,17
3.758,0.076,234.17,16.4,0,17
4.342,0.09,233.77,18.4,0,16
4.512,0,233.62,19.2,0,17
4.058,0.2,234.68,17.6,0,17
2.472,0.058,236.94,10.4,0,17
2.79,0.18,237.52,11.8,0,18
2.624,0.144,238.2,11,0,17
2.772,0.118,238.28,11.6,0,17
3.74,0.108,236.93,16.4,16,18
4.928,0.202,235.01,21,37,16
6.052,0.192,232.93,26.2,37,17
6.752,0.186,232.12,29,36,17
6.474,0.144,231.85,27.8,37,16
6.308,0.116,232.25,27,36,17
4.464,0.136,234.66,19,37,16
3.396,0.148,236.2,15,22,18
3.09,0.152,237.07,13.8,12,17
3.73,0.144,235.78,16.4,27,17
2.308,0.16,237.43,9.6,1,17
2.388,0.158,237.26,10,1,17
4.598,0.1,234.25,21.4,20,17
4.524,0.076,234.2,19.6,9,17
4.202,0.082,234.31,17.8,1,17
4.472,0,233.29,19.2,1,16
2.852,0,235.61,12,1,17
2.928,0,235.25,12.4,1,17
2.94,0,236.04,12.4,2,17
2.934,0,235.51,12.4,1,17
2.926,0,235.68,12.4,1,17
3.452,0,235.2,15.2,1,17
4.87,0,233.74,20.8,1,17
4.868,0,233.84,20.8,1,17
